local,title,paragraph,data,pay
경기 평택시, (주)신세계엘앤비,[신세계L&B] 트레이더스 안성점 와인 판촉 고정행사자 모집(2월부터~),12:00~20:00,"일급88,000"
대구 서구, (주)신세계엘앤비,[신세계L&B] 트레이더스 비산점 와인명절세트 단기판촉알바모집(1.20~),13:00~21:00,"일급88,000"
경기 부천시, (주)신세계엘앤비,[신세계L&B] 이마트에브리데이 구로항동점 와인매장 고정알바 모집,12:00~20:00,"일급88,000"
서울 구로구, (주)신세계엘앤비,[신세계L&B] 이마트에브리데이 구로항동점 와인매장 고정알바 모집,12:00~20:00,"일급88,000"
경기 고양시, (주)신세계엘앤비,[신세계L&B] 이마트에브리데이 탄현역점 와인매장 고정알바 모집,12:00~20:00,"일급88,000"
경기 고양시, (주)신세계엘앤비,[신세계L&B] 이마트에브리데이 탄현역점 와인매장 고정알바 모집,12:00~20:00,"일급88,000"
경기 용인시, (주)신세계엘앤비,[신세계L&B] 신세계백화점 경기점 와인배송 알바(단기),12:00~20:00,"일급88,000"
경기 용인시, (주)신세계엘앤비,[신세계L&B] 신세계백화점 경기점 와인배송 알바(단기),12:00~20:00,"일급88,000"
경기 성남시, (주)신세계엘앤비,[신세계L&B] 와인앤모어데일리 분당정자2호점 와인판매알바 모집(월7일이하),13:00~21:00,"일급88,000"
경기 성남시, (주)신세계엘앤비,[신세계L&B] 와인앤모어데일리 분당정자2호점 와인판매알바 모집(월7일이하),13:00~21:00,"일급88,000"
경기 성남시, (주)신세계엘앤비,[신세계L&B] 와인앤모어데일리 분당정자2호점 와인판매알바 모집(월7일이하),13:00~21:00,"일급88,000"
경기 성남시, (주)신세계엘앤비,[신세계L&B] 와인앤모어데일리 분당정자2호점 와인판매알바 모집(월7일이하),13:00~21:00,"일급88,000"
경기 용인시, (주)신세계엘앤비,[신세계L&B] 와인앤모어데일리 분당정자2호점 와인판매알바 모집(월7일이하),13:00~21:00,"일급88,000"
경기 용인시, (주)신세계엘앤비,[신세계L&B] 와인앤모어데일리 분당정자2호점 와인판매알바 모집(월7일이하),13:00~21:00,"일급88,000"
서울 성북구, (주)신세계엘앤비,[신세계L&B] 와인앤모어데일리 성북점 와인판매/진열 스탭모집(주말),13:00~21:00,"일급88,000"
