local,title,paragraph,data,pay
서울 동대문, 현대시티아울렛 동대문점,[평일고정AR] 꿀알바 현대시티아울렛 동대문점 통합데스크,10:00~19:30,"시급9,200"
경기 성남시, 현대백화점 판교점,현대백화점 판교점 VIP라운지 보조 3개월 (주5일) 아르바이트 모집합니다,10:00~19:30,"시급9,200"
경기 성남시, 현대백화점 판교점,현대백화점 판교점 VIP라운지 서빙보조 주5일 단기 아르바이트 모집합니다.,10:00~20:00,"시급9,200"
서울 송파구, 현대백화점 현대시티몰 가든파이브점,[단기1/21-1/27]현대시티몰 가든파이브점 설날 행사(스케줄),10:00~19:30,"시급9,500"
대구 중구, 현대백화점 대구점,현대백화점대구점 해외유명브랜드 매장 그리터(안내도우미) 장기 AR모집,11:00~20:00,"시급10,000"
경기 부천시, 현대백화점 중동점,[현대백화점 중동점]판매기획팀 업무보조A/R 모집,09:30~18:00,"시급9,200"
울산 동구," 현대백화점(울산점, 울산동구점)",[현대백화점 동구점] 설 명절 행사 아르바이트 大모집,시간협의,"시급9,200"
서울 강남구, 현대백화점,[1/14~1/28] 현대백화점 압구정본점 설 명절 단기 아르바이트 채용,10:00~19:30,"시급9,200"
서울 강남구, 현대백화점,[1/14~1/28] 현대백화점 압구정본점 설 명절 단기 아르바이트 채용,10:00~19:30,"시급9,200"
서울 강동구, 현대백화점 천호점,현대백화점 천호점 식품팀 상품소분 및 운반 등 1/25,10:00~19:00,"시급9,200"
서울 강동구, 현대백화점 천호점,현대백화점 천호점 식품팀 상품소분 및 운반 등,10:00~19:00,"시급9,200"
서울 송파구, 현대백화점 현대시티몰 가든파이브점,[단기1/18-1/29]현대시티몰 가든파이브점 설날 행사(스케줄),10:00~19:30,"시급9,500"
서울 전체, 현대시티아울렛 동대문점,[주3일]현대시티몰 온라인몰 사무직 알바 모집 /+꿀알바+/물류X,10:00~19:00,"시급9,200"
서울 송파구, 현대백화점 현대시티몰 가든파이브점,[단기1/20-1/28]현대시티몰 가든파이브점 설날 행사(스케줄),10:00~19:30,"시급9,500"
서울 영등포, 더현대서울,[더현대 서울] 꿀알바 현대백화점 복합문화공간관리 아르바이트 모집,09:30~19:00,"시급9,200"
서울 강남구, 한무쇼핑(주),"[현대백화점 무역센터점] 우편물, 파우치 아르바이트 모집 (군필우대)",10:00~19:00,"시급9,200"
경기 남양주, 현대프리미엄아울렛 SPACE1,[단기] 현대프리미엄아울렛 SPACE1 설명절 행사,10:30~20:00,"시급9,200"
서울 영등포, 더현대서울,[더현대 서울] 현대백화점 회원서비스센터 아르바이트 모집,11:00~20:30,"시급9,200"
서울 강남구, 한무쇼핑(주),[현대백화점 무역센터점] 자스민라운지 바리스타아르바이트 모집(라떼아트가능자),09:30~19:00,"시급9,410"
대전 전체, 현대백화점 현대프리미엄아울렛 대전점,[특급알바] 현대프리미엄아울렛 대전점 사은데스크 평일 아르바이트 모집,10:00~19:30,"시급9,200"
서울 금천구, (주)현대백화점,현대백화점 본사 회원상담실 인바운드 아르바이트 채용,09:00~18:00,"시급9,200"
서울 금천구, (주)현대백화점,현대백화점 본사 회원상담실 인바운드(콜센터) 정규직 채용,09:00~18:30,"월급2,160,858"
서울 영등포, 더현대서울,[더현대 서울] 현대백화점 회원서비스센터 아르바이트 모집,10:30~20:00,"시급9,200"
서울 강남구, 현대백화점,[1/12~1/26] 현대백화점 압구정본점 설 명절 단기 아르바이트 채용,10:00~19:30,"시급9,200"
서울 강남구, 현대백화점,[1/13~1/31] 현대백화점 압구정본점 명절 단기 상품픽업 AR 채용,10:00~20:00,"시급9,200"
경기 성남시, 현대백화점 판교점,현대백화점 판교점 라운지 바리스타 주5일 아르바이트 모집합니다.,10:00~19:30,"시급10,000"
서울 영등포, 더현대서울,[더현대 서울] 현대백화점 VIP라운지 주방보조 아르바이트 모집,09:30~18:30,"시급9,680"
인천 연수구, 현대백화점 송도아울렛,[송도아울렛] 지원팀(총무업무) 보조 아르바이트 구인,10:00~19:00,"시급9,200"
인천 연수구, 현대프리미엄아울렛 송도점,[현대프리미엄아울렛] 송도점 사은데스크 주5일 아르바이트 모집,10:00~19:30,"시급9,200"
