local,title,paragraph,data,pay
부산 부산진, 홍대개미 삼정타워점,주방정직원,시간협의,"월급2,700,000"
서울 종로구, 홍대개미청량리역사점,"[홍대개미 청량리역사] 정사원(225만원) 및 파트타임 (11,400원)",09:00~21:30,"월급2,250,000"
서울 동대문, 홍대개미청량리역사점,"[홍대개미 청량리역사] 정사원(225만원) 및 파트타임 (11,400원)",09:00~21:30,"월급2,250,000"
서울 전체, 홍대개미청량리역사점,"[홍대개미 청량리역사] 정사원(225만원) 및 파트타임 (11,400원)",09:00~21:30,"월급2,250,000"
서울 성북구, 홍대개미 현대백화점 미아점,"[홍대개미 미아점] 토,일 아르바이트 모집",12:00~16:30,"시급9,160"
서울 성북구, 홍대개미 현대백화점 미아점,[홍대개미 현대백화점 미아점] 주 5일 정사원 모집,10:00~20:00,"월급1,950,000"
광주 서구, 홍대개미 신세계백화점 광주점,홍대개미 신세계백화점 광주점] 주5일 주방,09:00~20:00,"월급2,250,000"
서울 전체, 홍대개미청량리역사점,"[홍대개미 청량리역사] 정사원(225만원) 및 파트타임 (11,400원)",09:00~21:30,"월급2,250,000"
서울 마포구, 홍대개미 공덕점,[홍대개미 공덕점] 주5일근무 주방 직원 모집,11:00~21:00,"월급2,250,000"
부산 부산진, 홍대개미 롯대백화점 부산본점,[홍대개미 롯데백화점 부산본점] 주방 주5일 정직원 모집,09:00~20:00,"월급2,250,000"
부산 부산진, 홍대개미 롯대백화점 부산본점,[홍대개미 롯데백화점 부산본점] 주방 주5일 정직원 모집,09:00~20:00,"월급2,250,000"
부산 해운대, 홍대개미 신세계백화점센텀시티점,[홍대개미 신세계백화점 센텀점] 주방 주5일 정직원 모집,09:00~20:00,"월급2,250,000"
부산 북구, 홍대개미 덕천점,홍대개미 덕천점 주방 디너 아르바이트 모집합니다,18:00~22:00,"시급9,160"
부산 부산진, 홍대개미 삼정타워점,주방정직원,시간협의,"월급2,700,000"
부산 부산진, 홍대개미 롯대백화점 부산본점,[홍대개미 롯데백화점 부산본점] 주방 주5일 정직원 모집,09:00~20:00,"월급2,250,000"
경기 평택시, 홍대개미스타필드안성,[주5일/230만] 홍대개미 스타필드안성 주방직원 급구,11:00~21:00,"월급2,300,000"
경기 평택시, 홍대개미스타필드안성,[주5일/230만] 홍대개미 스타필드안성 주방직원 급구,11:00~21:00,"월급2,300,000"
