local,title,paragraph,data,pay
울산 동구, 1970새마을포차 울산일산점,1970새마을포차 울산 일산점 홀 아르바이트,18:00~22:00,"시급9,160"
인천 남동구, 1970새마을포차 인천구월점,1970새마을포차 인천구월점 주방 보조,시간협의,"시급9,160"
서울 서대문, 1970새마을포차 신촌점,1970새마을포차 신촌점에서 열정가득한 인재를 구합니다(직원/알바),17:00~05:00,"시급10,000"
서울 서대문, 1970새마을포차 신촌점,1970새마을포차 신촌점에서 열정가득한 인재를 구합니다(직원/알바),17:00~05:00,"시급10,000"
대구 중구, 1970새마을포차 대구동성로점,"동성로 1970새마을포차에서 주방보조, 홀직원 및 알바 구합니다",시간협의,"시급9,200"
대구 중구, 1970새마을포차 대구동성로점,"동성로 1970새마을포차에서 주방보조, 홀직원 및 알바 구합니다",시간협의,"시급9,200"
경기 의정부, 1970새마을포차 의정부점,1970새마을포차 의정부점 홀서빙 모집,시간협의,"시급9,500"
경기 의정부, 1970새마을포차 의정부점,1970새마을포차 의정부점 주방 직원 모집,시간협의,"시급10,000"
경기 수원시, 1970새마을포차 수원역점,새마을포차 수원역점에서 주방직원 및 파트타임을 모집합니다.,15:30~21:30,"월급1,700,000"
경기 수원시, 1970새마을포차 수원역점,새마을포차 수원역점에서 주방직원 및 파트타임을 모집합니다.,15:30~21:30,"월급1,700,000"
경기 수원시, 1970새마을포차 수원역점,새마을포차 수원역점에서 주방직원 및 파트타임을 모집합니다.,15:30~21:30,"월급1,700,000"
경남 창원시, 1970새마을포차 창원상남점,"1970새마을포차 창원상남점 직원 및 알바 모집(홀, 주방)",시간협의,"시급10,500"
경남 창원시, 1970새마을포차 창원상남점,"1970새마을포차 창원상남점 직원 및 알바 모집(홀, 주방)",시간협의,"시급10,500"
경남 창원시, 1970새마을포차 창원상남점,"1970새마을포차 창원상남점 직원 및 알바 모집(홀, 주방)",시간협의,"시급10,500"
대구 중구, 1970새마을포차 대구동성로점,"동성로 1970새마을포차에서 주방보조, 홀직원 및 알바 구합니다",시간협의,"시급9,200"
대구 중구, 1970새마을포차 대구동성로점,"동성로 1970새마을포차에서 주방보조, 홀직원 및 알바 구합니다",시간협의,"시급9,200"
경남 창원시, 1970새마을포차 마산합성점,합성동 1970새마을포차에서 홀직원 및 주방직원 구합니다,05:00~23:00,"시급9,300"
경남 창원시, 1970새마을포차 마산합성점,합성동 1970새마을포차에서 홀직원 및 주방직원 구합니다,05:00~23:00,"시급9,300"
경남 창원시, 1970새마을포차 마산합성점,합성동 1970새마을포차에서 홀직원 및 주방직원 구합니다,05:00~23:00,"시급9,300"
경남 창원시, 1970새마을포차 마산합성점,합성동 1970새마을포차에서 홀직원 및 주방직원 구합니다,05:00~23:00,"시급9,300"
경남 창원시, 1970새마을포차 창원상남점,"1970새마을포차 창원상남점 직원 및 알바 모집(홀, 주방)",시간협의,"시급10,500"
경기 수원시, 1970새마을포차 수원역점,새마을포차 수원역점에서 주방직원 및 파트타임을 모집합니다.,15:30~21:30,"월급1,700,000"
