local,title,paragraph,data,pay
서울 전체, SK에너지 풍한주유소,주유원모집/고려대/제기동/풍한주유소/기숙사.단시간알바가능,시간협의,"시급9,160"
서울 동대문, SK에너지 신반포주유소,개인운전기사구합니다,10:00~17:00,"시급10,000"
경기 의왕시, SK에너지 HG에너지(주)대원주유소,경기도 의왕시 SK대원주유소 [급여240만원]세차직원모집 식사제공(2끼),09:00~19:00,"월급2,400,000"
경기 의왕시, SK에너지 HG에너지(주)대원주유소,경기도 의왕시 SK대원주유소 [급여240만원]세차직원모집 식사제공(2끼),09:00~19:00,"월급2,400,000"
경기 의왕시, SK에너지 HG에너지(주)대원주유소,경기도 의왕시 SK대원주유소 [급여240만원]세차직원모집 식사제공(2끼),09:00~19:00,"월급2,400,000"
경기 의왕시, SK에너지 현대주유소,의왕시 오전동 주유소 알바 모집,09:00~18:00,"시급9,160"
서울 서초구, SK에너지 양재주유소,oo 주유원 구함 oo,시간협의,"시급9,160"
경기 오산시, SK에너지 KH에너지㈜직영 오산(동탄,[일9시간/월272만원]KH에너지 오산주유소(동탄) 주유사원모집(세차없슴),10:00~19:00,"월급2,721,000"
경기 평택시, SK에너지 항만주유소,서울석유(주)항만주유소 주유원 모집합니다.(숙식가능 1인1실),08:00~16:00,"월급2,200,000"
경기 광주시, SK에너지 기름나라주유소,기름나라주유소 직원모집,09:00~18:00,"월급2,500,000"
서울 마포구, SK에너지 대흥주유소,주유직원 모집합니다,11:30~19:30,"월급2,254,000"
경기 시흥시, SK에너지 (주)시흥에너지 배곧주유소,주유및세차원(편의점)을 모집합니다.(정말 성실한분을 모십니다.),08:00~18:00,"월급2,800,000"
경남 양산시, SK에너지 양산주유소,셀프주유소 알바모집,12:00~16:00,"시급9,160"
서울 동대문, SK에너지 삼영주유소,함께 일 하실분 구합니다,10:00~18:00,"시급9,160"
서울 동대문, SK에너지 삼영주유소,주말  함께 일하실분  구합니다,10:00~17:00,"시급9,160"
서울 송파구, SK에너지 한강에너지(주)퍼스트주유소,남.여 급여 240만원 자동세차 직원구합니다~ (식사 2끼 제공),09:00~19:00,"월급2,400,000"
서울 송파구, SK에너지 한강에너지(주)퍼스트주유소,남.여 급여 240만원 자동세차 직원구합니다~ (식사 2끼 제공),09:00~19:00,"월급2,400,000"
서울 송파구, SK에너지 한강에너지(주)퍼스트주유소,남.여 급여 240만원 자동세차 직원구합니다~ (식사 2끼 제공),09:00~19:00,"월급2,400,000"
서울 송파구, SK에너지 한강에너지(주)퍼스트주유소,남.여 급여 240만원 자동세차 직원구합니다~ (식사 2끼 제공),09:00~19:00,"월급2,400,000"
서울 송파구, SK에너지 한강에너지(주)퍼스트주유소,남.여 급여 240만원 자동세차 직원구합니다~ (식사 2끼 제공),09:00~19:00,"월급2,400,000"
경기 성남시, SK에너지 한강에너지(주),서울송파구에서남.여 급여 240만원 자동세차 직원구합니다~ (식사 2끼 제공,09:00~19:00,"월급2,400,000"
경기 성남시, SK에너지 한강에너지(주),서울송파구에서남.여 급여 240만원 자동세차 직원구합니다~ (식사 2끼 제공,09:00~19:00,"월급2,400,000"
경기 성남시, SK에너지 한강에너지(주),서울송파구에서남.여 급여 240만원 자동세차 직원구합니다~ (식사 2끼 제공,09:00~19:00,"월급2,400,000"
경기 성남시, SK에너지 한강에너지(주),서울송파구에서남.여 급여 240만원 자동세차 직원구합니다~ (식사 2끼 제공,09:00~19:00,"월급2,400,000"
경기 성남시, SK에너지 한강에너지(주),서울송파구에서남.여 급여 240만원 자동세차 직원구합니다~ (식사 2끼 제공,09:00~19:00,"월급2,400,000"
경남 밀양시, SK에너지 예림주유소,주유세차원 구합니다,시간협의,"시급9,160"
경기 용인시, SK에너지 언남신도시주유소,SK언남신도시셀프주유소에서 가족을 모십니다,20:00~06:00,"시급9,200"
경기 광주시, SK에너지 기름나라주유소,기름나라주유소 직원모집,09:00~18:00,"시급9,160"
경기 오산시, SK에너지 KH에너지㈜직영 오산(동탄,[일9시간/월272만원]KH에너지 오산주유소(동탄) 주유사원모집(세차없슴),10:00~19:00,"월급2,721,000"
강원 삼척시, SK에너지 원더풀주식회사,"원더플 주중, 주말 근무 직원 모집",12:00~21:00,"시급10,000"
서울 전체, SK에너지 강평주유소,주유사원모집,시간협의,"시급9,300"
경기 수원시, SK에너지 수원고속주유소,"셀프주유소 최소1만원이상(+&능력별차등지급),주말알바모집,시급외 주휴수당지급",시간협의,"시급10,000"
전국 전체, SK에너지 KH에너지㈜직영 오산(과천,[일9시간/월272만원]KH에너지 오산주유소(과천) 주유사원모집(세차없슴),10:00~19:00,"월급2,721,000"
경기 부천시, SK에너지 부광주유소,주유및세차,시간협의,"월급2,500,000"
경기 고양시, SK에너지 SK부광주유소 원당점,주유및세차,09:00~18:00,"월급2,500,000"
서울 전체, SK에너지 (주)안국에너지 삼원셀프주,주유/세차직원 구합니다.,06:30~15:00,"월급2,235,040"
서울 도봉구, SK에너지 원에너지(주) 호원주유소,"셀프주유,세차직원모집(경력자)",시간협의,"시급9,160"
경기 의정부, SK에너지 원에너지(주) 호원주유소,"셀프주유,세차직원모집(경력자)",시간협의,"시급9,160"
서울 서초구, SK에너지 양재주유소,oo 주유원 구함 oo,시간협의,"시급9,160"
서울 서초구, SK에너지 양재주유소,oo 주유원 구함 oo,시간협의,"시급9,160"
전국 전체, SK에너지 KH에너지㈜직영 오산(과천,[일9시간/월272만원]KH에너지 오산주유소(과천) 주유사원모집(세차없슴),10:00~19:00,"월급2,721,000"
