local,title,paragraph,data,pay
대구 북구, 쿱스토어대구 동천점,자연드림 대구동천점 파트타이머 모집,08:30~15:00,"시급10,000"
세종 도담동, 자연드림 세종도담점,자연드림 세종 도담점 주말 직원 모집,07:00~10:00,"시급10,000"
대전 유성구, 자연드림 대전도안점,자연드림 대전 도안점 주말 물류 직원 구인,07:00~10:00,"시급10,000"
대구 달성군, 쿱스토어대구 테크노점,자연드림 대구테크노점 파트타이머 모집,09:30~16:00,"시급10,000"
부산 남구, (주)쿱스토어부산 대연점,쿱스토어부산 대연점 매장직원모집,08:30~15:00,"시급10,000"
경남 김해시, 자연드림 장유율하점,"자연드림 장유율하점 파트타이머(일 6시간,주 5일) 모집",08:30~15:00,"시급10,000"
부산 남구, (주)쿱스토어부산 대연점,쿱스토어부산 대연점 매장직원모집,08:30~15:00,"시급10,000"
대구 달서구, 쿱스토어대구 용산점,자연드림 대구용산점 매장 파트타이머 모집,08:30~15:00,"시급10,000"
강원 속초시, (주)쿱스토어강원 속초조양점,"슈퍼마켓 예비점장(자연드림 속초조양점), 주당 44시간, 주5일,",시간협의,"연봉31,000,000"
대구 동구, 쿱스토어대구 이시아점,자연드림 대구이시아점 매장 파트타이머 모집,08:00~14:00,"시급10,000"
서울 송파구, (주)농업법인 쿱스토어 잠실점,자연드림 송파잠실점 주6일 오전직원모집(월~토),08:00~10:00,"시급10,000"
충북 청주시, 자연드림 청주금천점,자연드림 청주 금천점 물류 직원 모집,07:00~09:00,"시급10,000"
서울 강남구, 주식회사 농업법인 쿱스토어 강남대치점,자연드림 강남대치점 주5일(평일오후) 근무직원 모집,15:00~19:30,"시급10,000"
대구 달성군, 쿱스토어대구 테크노점,자연드림 대구테크노점 파트타이머 모집,09:30~16:00,"시급10,000"
대구 달성군, 쿱스토어대구 테크노점,자연드림 대구테크노점 파트타이머 모집,09:30~16:00,"시급10,000"
부산 해운대, (주)쿱스토어부산 해운대중동점,자연드림 부산중동점 오전물류직원(주말) 모집,07:00~09:30,"시급10,000"
충북 충주시, (주)쿱스토어강원 충주연수점,"매주 금/토/일 오후근무, 주24시간, 슈퍼마켓 직원, 충주시 연수동",12:30~21:00,"시급10,000"
강원 속초시, (주)쿱스토어강원 속초조양점,"주당 44시간, 주5일, 슈퍼마켓 예비점장(자연드림 속초조양점)",시간협의,"연봉31,000,000"
대구 달성군, 쿱스토어대구 테크노점,자연드림 대구테크노점 파트타이머 모집,09:30~16:00,"시급10,000"
경기 고양시, 자연드림 일산주엽점,자연드림 일산주엽점 주말 진열 직원 모집,08:00~10:30,"시급10,000"
경기 고양시, 자연드림 일산주엽점,자연드림 일산주엽점 매장 직원 모집,08:00~14:30,"시급10,000"
제주 제주시, (주)쿱스토어제주 이도점,자연드림 제주이도점 매장파트타이머 구인,08:00~11:00,"시급10,000"
제주 제주시, (주)쿱스토어제주 이도점,자연드림 제주이도점 정육실장 모집,10:00~19:00,"연봉28,900,000"
서울 강남구, 주식회사 농업법인 쿱스토어 강남대치점,자연드림 강남대치점 정육실장구인(주5일),09:00~18:00,"연봉31,000,000"
서울 강남구, 주식회사 농업법인 쿱스토어 강남대치점,자연드림 강남대치점 주2일(주말오전) 근무직원 모집,08:30~15:00,"시급10,000"
