local,title,paragraph,data,pay
경기 군포시, (주)초록마을 본사직영,산본직영점 매장관리 및 배달(운전 필수) 직원모집,10:00~19:00,"월급2,500,000"
인천 남동구, (주)초록마을 본사직영,구월힐스테이트직영점 매장관리 및 배달 (운전필수) 직원모집,10:00~19:00,"월급2,500,000"
경기 하남시, (주)초록마을 본사직영,하남미사역직영점 매장관리 및 배달(운전필수) 직원모집,10:00~19:00,"월급2,500,000"
서울 서초구, (주)초록마을 본사직영,서초직영점 배달 및 매장관리(운전필수) 직원모집,10:00~19:00,"월급2,500,000"
서울 서초구, (주)초록마을 본사직영,반포직영점 배달 및 매장관리(운전필수) 직원모집,10:00~19:00,"월급2,500,000"
서울 서초구, (주)초록마을 본사직영,반포직영점 매장관리 및 판매 직원모집,09:00~18:00,"월급2,450,000"
서울 서초구, (주)초록마을 본사직영,서초직영점 매장관리 및 판매 직원모집,09:00~18:00,"월급2,450,000"
서울 중랑구, (주)초록마을 본사직영,"서울, 경기 직영점 순회사원(판매 및 배달)직원 모집",09:00~21:00,"월급2,750,000"
서울 강남구, (주)초록마을 본사직영,압구정직영점 매장 관리 및 판매 직원모집,09:00~18:00,"월급2,450,000"
경기 성남시, (주)초록마을 본사직영,동판교직영점 매장관리 및 판매 직원모집,09:00~18:00,"월급2,450,000"
서울 송파구, (주)초록마을 본사직영,신천역직영점 판매 및 매장관리 직원모집,09:00~18:00,"월급2,450,000"
경기 성남시, (주)초록마을 본사직영,정자카페거리직영점 판매 및 매장관리 직원모집,09:00~18:00,"월급2,450,000"
서울 강남구, (주)초록마을 본사직영,삼성직영점 매장관리 및 판매 직원모집,09:00~18:00,"월급2,000,000"
서울 영등포, (주)초록마을 본사직영,당산직영점 판매 및 매장관리 직원모집,09:00~18:00,"월급2,450,000"
경기 김포시, (주)초록마을 본사직영,김포장기직영점 판매 및 매장관리 직원모집,09:00~18:00,"월급2,450,000"
인천 남동구, (주)초록마을 본사직영,인천구월점 판매 진열 및 계산 아르바이트 모집,09:00~13:00,"시급11,000"
서울 서초구, (주)초록마을 본사직영,반포점 판매 진열 및 계산 아르바이트 모집,09:00~13:00,"시급11,000"
