local,title,paragraph,data,pay
경기 남양주, 미카도스시 & 탄광맥주 별내아이파크점,미카도스시 별내아이파크점 직원 모집합니다.(주말 포함 6일 근무),10:30~21:30,"월급3,500,000"
서울 서초구, 미카도스시 & 탄광맥주 교대점,【미카도스시 교대점】＃월화 오전 홀알바 모집＃분위기 굿%,시간협의,"시급9,500"
경북 포항시, 미카도스시 & 탄광맥주 포항두호점,미카도스시 포항두호점 파트타이머 모집,10:00~21:30,"시급9,160"
인천 중구, 미카도스시 & 탄광맥주 인천영종도하늘,"미카도스시 영종하늘도시점 앞다이 과장님, 대리님,주방이모 구합니다",09:30~21:30,"월급3,100,000"
경기 화성시, 미카도스시 & 탄광맥주 화성시청점,미카도스시 화성시청점 부장님모십니다,10:00~22:00,"월급3,500,000"
광주 광산구, 미카도스시 & 탄광맥주 광주수완점,미카도스시광주수완점 주방직원 구합니다.(초보가능),10:00~22:00,"월급2,510,000"
경기 화성시, 미카도스시 & 탄광맥주 화성시청점,미카도스시  뒷주방 찬모님  실장님,시간협의,"시급11,000"
경기 화성시, 미카도스시 & 탄광맥주 화성시청점,미카도스시  앞주방 과장님 초밥배우고싶은 초보,시간협의,"월급2,800,000"
경기 하남시, 미카도스시 & 탄광맥주 하남미사점,[미카도스시] 미사역점에서 함께하실 직원분 모십니다.,10:00~22:00,"월급2,754,000"
경기 남양주, 미카도스시 & 탄광맥주 별내아이파크점,미카도스시 별내아이파크점 직원 모집합니다.(주말 포함 4-6일 협의 가능),10:30~21:30,"월급3,500,000"
경기 화성시, 미카도스시 & 탄광맥주 화성시청점,미카도스시  평일 오후 주말,시간협의,"시급10,920"
경기 남양주, 미카도스시 & 탄광맥주 별내아이파크점,미카도스시 별내아이파크점 직원 모집합니다.(주말 포함 4-6일 협의 가능),10:30~21:30,"월급3,500,000"
광주 광산구, 미카도스시 & 탄광맥주 광주수완점,미카도스시광주수완점 주방직원 구합니다.(초보가능),10:00~22:00,"월급2,510,000"
광주 광산구, 미카도스시 & 탄광맥주 광주수완점,미카도스시광주수완점 주방직원 구합니다.(초보가능),10:00~22:00,"월급2,510,000"
광주 광산구, 미카도스시 & 탄광맥주 광주수완점,미카도스시광주수완점 주방직원 구합니다.(초보가능),10:00~22:00,"월급2,510,000"
