local,title,paragraph,data,pay
서울 영등포, 바스버거 국회점,[바스버거 국회의사당점] 주말풀타임 파트타이머 모집,10:00~21:00,"시급10,992"
서울 마포구, 바스버거 상암점,[정규직] 오픈타임 SC 채용,09:30~16:30,"연봉19,000,000"
서울 영등포, 바스버거 국회점,[바스버거 국회의사당점] 주말풀타임 파트타이머 모집,10:00~21:00,"시급10,992"
서울 영등포, 바스버거 국회점,[바스버거 국회의사당점] 평일오픈 파트타이머 모집,09:30~16:00,"시급10,992"
서울 영등포, 바스버거 국회점,[바스버거 국회의사당점] 평일마감 파트타이머 모집,16:00~22:00,"시급10,992"
서울 양천구, 바스버거 여의도점,[바스버거 여의도점] 평일마감 파트타이머 모집,16:30~22:30,"시급10,992"
서울 서초구, 바스버거 서초교대점,[바스버거 서초교대점] 평일오픈 파트타이머 모집,시간협의,"시급10,992"
서울 서초구, 바스버거 서초교대점,[바스버거 서초교대점] 평일오픈 파트타이머 모집,시간협의,"시급10,992"
서울 강남구, 바스버거 역삼점,[바스버거 역삼점] 평일마감 파트타이머 모집,16:30~22:30,"시급10,992"
서울 서대문, 바스버거 광화문점,[바스버거 광화문점] 평일 오픈 파트타이머 모집,09:30~14:30,"시급10,992"
서울 서대문, 바스버거 광화문점,[바스버거 광화문점] 주말 풀파트타이머 모집,13:00~21:00,"시급10,992"
서울 성북구, 바스버거 광화문점,[바스버거 광화문점] 주말 풀파트타이머 모집,13:00~21:00,"시급10,992"
서울 용산구, 바스버거 후암점,[바스버거 후암점] 주말 풀타임 파트타이머 모집,10:00~21:00,"시급10,992"
서울 서초구, 바스버거 서초교대점,[바스버거 서초교대점] 평일오픈 파트타이머 모집,시간협의,"시급10,992"
서울 용산구, 바스버거 후암점,[바스버거 후암점] 평일 마감 파트타이머 모집,18:00~22:30,"시급10,992"
서울 강남구, 바스버거 선릉점,[바스버거 선릉점] 평일마감 파트타이머 모집,17:00~22:30,"시급10,992"
서울 강남구, 바스버거 선릉점,[바스버거 선릉점] 주말풀타임 파트타이머 모집,11:00~21:00,"시급10,992"
서울 강남구, 바스버거 선릉점,[바스버거 선릉점] 평일마감 파트타이머 모집,17:00~22:30,"시급10,992"
서울 강남구, 바스버거 선릉점,[바스버거 선릉점] 주말풀타임 파트타이머 모집,11:00~21:00,"시급10,992"
서울 강남구, 바스버거 선릉점,[바스버거 선릉점] 평일마감 파트타이머 모집,17:00~22:30,"시급10,992"
서울 용산구, 바스버거 후암점,[바스버거 후암점] 평일 오픈 파트타이머 모집,09:30~15:00,"시급10,992"
서울 용산구, 바스버거 후암점,[바스버거 후암점] 평일 마감 파트타이머 모집,18:00~22:30,"시급10,992"
서울 강서구, 바스버거 여의도점,[바스버거 여의도점] 평일오픈 파트타이머 모집,시간협의,"시급10,992"
서울 마포구, 바스버거 상암점,[정규직] 마감타임 SC 채용,16:00~22:00,"연봉17,000,000"
서울 강남구, 바스버거 역삼점,[바스버거 역삼점] 평일마감 파트타이머 모집,16:30~22:30,"시급10,992"
서울 강남구, 바스버거 역삼점,[바스버거 역삼점] 평일오픈 파트타이머 모집,09:00~16:00,"시급10,992"
서울 서초구, 바스버거 서초교대점,[바스버거 서초교대점]  주말풀타임 파트타이머 모집,시간협의,"시급10,464"
