local,title,paragraph,data,pay
충북 충주시, 배스킨라빈스연수점,배스킨라빈스 충주연수점 판매 관리직 모집,17:00~23:00,"시급9,160"
충남 당진시, 배스킨라빈스,기지시 배스킨라빈스 주말 마감 알바 구합니다,19:00~23:00,"시급9,160"
부산 연제구, 배스킨라빈스 부산교대점,배스킨라빈스  평일+주말 알바모집,13:00~18:00,"시급9,160"
경기 김포시, 베스킨라빈스김포고촌점,배스킨라빈스 김포고촌점에서 함께할 근무자분을 구인합니다~,13:00~18:00,"시급9,160"
서울 중랑구, 베스킨라빈스이마트,"배스킨라빈스31 상봉이마트점 평일 (화,목) 오후 알바 모집",18:00~22:00,"시급9,160"
서울 강동구, 배스킨라빈스,강일동 배스킨라빈스에서 목금오픈아르바이트구합니다,10:00~14:00,"시급9,160"
인천 남동구, 배스킨라빈스 구월CGV점,배스킨라빈스 구월CGV점 알바 채용합니다,10:00~14:00,"시급9,160"
대구 중구, 베스킨라빈스동아쇼핑점,"베스킨라빈스동아쇼핑점에서 주말오전,오후반을모집합니다",시간협의,"시급9,160"
서울 관악구, 배스킨라빈스 봉천역점,배스킨라빈스 봉천역점에서 매니저와 파트너를 모집합니다,시간협의,"시급9,200"
서울 서초구, 배스킨라빈스 방배역점,배스킨라빈스 방배역점에서 파트너를 모집합니다.,18:30~23:00,"시급9,200"
서울 강서구, 배스킨라빈스 화곡역점,주4일 직원 모집합니다.,17:00~24:00,"시급10,992"
서울 금천구, 배스킨라빈스,금천홈플러스 배스킨라빈스 평일 마감 파트너 모집합니다.,00:00~24:00,"시급9,160"
경기 의정부, 배스킨라빈스 의정부범골범,배스킨라빈스 의정부범골점 오픈 아르바이트 채용 공고,09:00~13:00,"시급9,160"
서울 중구, 배스킨라빈스 신당,배스킨라빈스 신당점 파트타이머 모집,시간협의,"시급9,160"
경기 시흥시, 배스킨라빈스시화세종점,배스킨라빈스 시화세종점 평일(오픈 겸 미들) 모집합니다.,시간협의,"시급9,160"
대전 유성구, 베스킨라빈스대전노은,배스킨라빈스 대전 노은점 같이 동거동락 하실분,시간협의,"시급9,160"
경기 김포시, 베스킨라빈스김포고촌점,배스킨라빈스 김포고촌점에서 함께할 근무자분을 구인합니다~,17:00~23:00,"시급9,160"
서울 동대문, 베스킨라빈스장안점,"장안점(장안동사거리소재)수,금 알바구함",18:00~23:00,"시급9,160"
서울 강북구, 배스킨라빈스 강북구청점,"배스킨라빈스 강북구청점(수유역)에서 토, 일 마감 파트너 모집합니다.",18:00~23:00,"시급9,160"
서울 영등포, 배스킨라빈스신풍역,[평일 오픈&미들] 배스킨라빈스 신풍역,시간협의,"시급9,200"
인천 중구, 배스킨라빈스 영종도점,배스킨라빈스 영종도 점에서 주중 월화 알바를 급구 구하고 있습니다.,18:00~23:00,"시급9,160"
인천 중구, 배스킨라빈스 영종도점,배스킨라빈스 영종도 점에서 주중 월화 알바를 급구 구하고 있습니다.,18:00~23:00,"시급9,160"
서울 서초구, 배스킨라빈스 방배역점,배스킨라빈스 방배역점에서 파트너를 모집합니다.,18:30~23:00,"시급9,200"
서울 관악구, 배스킨라빈스 봉천역점,배스킨라빈스 봉천역점에서 매니저와 파트너를 모집합니다,시간협의,"시급9,200"
경기 고양시, 베스킨라빈스은평롯데몰,함께일할 가족을 모집합니다.,시간협의,"시급9,160"
서울 전체, 배스킨라빈스 반포역점,"배스킨라빈스 반포역점/월, 수, 목 마감/아르바이트생 모집",19:00~23:00,"시급9,200"
충남 아산시, 베스킨라빈스 배방점,아산배방점 베스킨라빈스에서 직원구합니다.,시간협의,"월급900,000"
경기 성남시, 배스킨라빈스 판교백현점,배스킨라빈스 판교백현점에서 (수~토) 경력자 구합니다,17:00~23:00,"시급9,500"
경남 진주시, 배스킨라빈스 진주혁신도시점,배스킨라빈스 진주혁신도시점에서 책임감 강한 경력있는 알바 구합니다,16:00~23:00,"시급9,160"
인천 남동구, 배스킨라빈스 구월CGV점,배스킨라빈스 구월CGV점 알바 채용합니다,10:00~14:00,"시급9,160"
충북 진천군, 배스킨라빈스 충북덕산점,배스킨라빈스 충북덕산점 정규직 직원 및 알바 모집,시간협의,"시급9,160"
충남 천안시, 배스킨라빈스천안먹자골목점,"두정동 배스킨라빈스 천안먹자골목점 (수, 금)",18:00~23:30,"시급9,160"
서울 전체, 배스킨라빈스 숭실대점,"주2일 (일,월) 오전 알바 모집합니다.",16:00~23:30,"시급9,160"
